6.682,6.795,7.21,3.672
5.651,5.552,5.196,7.844
0.00459,0.00435,0.00328,0.00876
0.14359,0.13963,0.12516,0.22604
2.681,3.636,4.624,3.129
11.972,11.943,12.16,11.939
13.993,13.848,9.348,13.738
1.2904,1.3031,1.6624,1.3389
2.665,3.644,4.66,3.112
−27.787,−30.840,−28.232,−23.031
2.014,2.2322,2.0638,1.6264
4.09,4.65,5.27,4.83
14.135,14.29,14.365,14.272
28.03,30.08,29.1,23.28
−1.921,−2.080,−2.130,−1.542
1.08,1.1,0.865,2.1
14.89,14.71,14.66,15.31
0.098,0.099,0.069,0.083
4.75,5,6.3,6.16
11.67,11.66,11.65,11.66
−0.037,−0.095,−0.172,−0.042
14.1,14.15,14.18,14.18
11.9,9.1,8.6,14.8
